id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos
523090,515269,"Homicidio calificado",Agravado/Calificado,1,2025-09-25,05:45:00,1,1,1.01.01,Michoacán,16,Jacona,43,"Jacona de Plancarte",160430001,"Emiliano Zapata",3248,59844,-102.32190278466,19.938641885539,"LIBRAMIENTO SUR ESQUINA CON HERIBERTO JARA "
523454,515642,Amenazas,Simple,1,2025-09-25,07:07:00,6,1,7.02,Michoacán,16,Morelia,53,Morelia,160530001,"INFONAVIT La Colina",281,58140,-101.2162534,19.7086739,"PLAZA GRANATE"
523045,515224,"Violencia familiar",Atenuado,1,2025-09-13,18:00:00,3,1,5.01,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"Los Taxistas",6190,60955,-102.2194323,17.9806928,Durazno
523063,515242,"Robo en grado de tentativa",Calificado,2,2025-09-25,06:06:00,6,2,4.07,Michoacán,16,Morelia,53,Morelia,160530001,Bocanegra,342,58150,-101.211892,19.7029909,"manuel herrera "
522897,515071,"Homicidio en grado de tentativa",Calificado,1,2025-09-22,09:44:00,1,2,1.05,Michoacán,16,Tarímbaro,88,"Santa María",160880001,"Santa María",1881,58880,-101.21533042964,19.769004838114,"conocido en la localidad de Santa María"
522892,515066,Fraude,Simple,2,2025-07-21,09:00:00,7,1,4.02,Michoacán,16,Morelia,53,Morelia,160530001,Electricistas,588,58290,-101.1795214,19.6822827,"CALZADA VENTURA PUENTE"
523350,515533,"Daño en las cosas doloso",Simple,1,2025-09-24,22:27:00,1,1,4.05,Michoacán,16,Uruapan,102,Uruapan,161020001,"San Francisco Uruapan",3740,60157,-102.023353,19.3903963,"GENERAL PLUTARCO ELIAS CALLES"
522915,515091,Amenazas,Simple,1,2025-09-25,09:40:00,7,1,7.02,Michoacán,16,Charo,22,Irapeo,160220001,Irapeo,7368,61310,-101.05923941779,19.69181287465,"Melchor Ocampo"
522915,515319,"Lesiones dolosas",Simple,1,2025-09-25,09:40:00,7,1,1.02.01,Michoacán,16,Charo,22,Irapeo,160220001,Irapeo,7368,61310,-101.05923941779,19.69181287465,"Melchor Ocampo"
522940,515116,"Robo de motocicleta",Calificado,1,2025-09-25,06:00:00,1,1,4.01.02.02,Michoacán,16,Zamora,108,"Zamora de Hidalgo",161080001,"Zamora de Hidalgo Centro",2910,59600,-102.2900237,19.9822022,"PINO SUAREZ"
522930,515106,"Robo de motocicleta",Calificado,1,2025-09-24,20:40:00,1,1,4.01.02.02,Michoacán,16,Zamora,108,"Zamora de Hidalgo",161080001,"Las Fuentes",3073,59699,-102.28076569762,19.976831731345,"AVENIDA DEL ARBOL"
523490,515678,"Daño en las cosas doloso",Simple,1,2025-09-22,07:00:00,6,1,4.05,Michoacán,16,Tarímbaro,88,Uruétaro,160880001,Uruétaro,1925,58891,-101.0874948,19.7923231,"VALLE DE APATZINGAN "
523822,516021,"Daño en hechos de tránsito vehicular",Simple,2,2025-09-24,17:00:00,4,1,4.05,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"Comunal Morelos",6386,60995,-102.22255997442,17.992661361003,"AV. LAS PALMAS"
522931,515107,"Daño en las cosas doloso",Simple,1,2025-09-21,20:50:00,4,1,4.05,Michoacán,16,"Lázaro Cárdenas",52,"Ciudad Lázaro Cárdenas",160520001,"600 Casas",6171,60954,-102.21931241695,17.966503845629,"AV. ORQUIDEAS"
522960,515136,"Daño en hechos de tránsito vehicular",Simple,2,2025-09-15,07:34:00,4,1,4.05,Michoacán,16,Zamora,108,"Romero de Torres",161080001,"Romero de Torres",3103,59721,-102.25598459503,20.022275806557,"LIBRAMIENTO ZAMORA-JACONA NORTE"
523769,515966,"Lesiones dolosas",Simple,1,2025-09-24,14:03:00,7,1,1.02.01,Michoacán,16,Morelia,53,Morelia,160530001,"La Esperanza",737,58337,-101.2537737,19.6991563,"LAURO DEL VILLAR"
523498,515686,"Abuso sexual de persona menor de 18 años de edad",Simple,2,2025-09-23,10:00:00,3,1,3.01,Michoacán,16,Morelia,53,Morelia,160530001,Camponubes,784,58337,-101.28847327089,19.694843303039,CAMPONUBES
