ID_CI,ID_DELITO,DTO,DTO_PRIN,MODA_DTO,FORMA_ACC,FHA_DE_HCHOS,HRA_DE_HCHOS,EMTO_COM_DTO,GRDO_CONS,CLASF_DE_DTO,NOM_ENT_HCHOS,ID_ENT_HCHOS,NOM_MUN_HCHOS,ID_MUN_HCHOS,NOM_LOC_HCHOS,ID_LOC_HCHOS,NOM_COL_HCHOS,ID_COL_HCHOS,CP,COORD_X,COORD_Y,DOM_HCHOS
1087,4,"ROBO VEHICULO","ROBO VEHICULO",1,2,2025-05-24,21:30:00,7,1,4.1.2.1,TLAXCALA,29,ZACATELCO,44,ZACATELCO,1,,,90740,"19.211462931289866,",-98.250843912899,"DIEZ DE JULIO, NÚMERO 9, SEGUNDA SECCIÓN, ZACATELCO, TLAX"
1088,7,NARCOMENUDEO,NARCOMENUDEO,1,2,2025-05-26,11:32:00,7,1,7.1.1,TLAXCALA,29,CHIAUTEMPAN,10,CHIAUTEMPAN,1,,,90800,"19.30945264124573, ",-98.184442434122,"CALLE MANUEL NAVA , COLONIA REFORMA , CHIAUTEMPAN, TLAXCALA"
1089,4,DAÑOS,DAÑOS,1,2,2025-05-25,23:30:00,7,1,4.5,TLAXCALA,29,CONTLA,18,CONTLA,1,,,90193,"19.33052426992111,",-98.173664018782,"CALLE EMILIANO ZAPATA, SECCIÓN PRIMERA DEL MUNICIPIO CONTLA DE JUAN CUAMATZI, TLAXCALA"
1090,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,1,2025-05-25,20:30:00,1,1,4.1.2.2,TLAXCALA,29,IXTACUIXTLA,15,"SAN DIEGO XOCOYUCAN",22,,,90120,"19.308258268481246,",-98.374925600276,"CARRETERA SAN MARTIN TEXMELUCAN – TLAXCALA, A LA ALTURA DE SAN DIEGO XOCOYUCAN, MUNICIPIO DE IXTACUIXTLA DE MARIANO MATAMOROS, TLAXCALA"
1091,5,"VIOLENCIA FAMILIAR","VIOLENCIA FAMILIAR",1,1,2024-03-20,,3,1,5.1,TLAXCALA,29,NATIVITAS,23,"SANTO TOMAS LA CONCORDIA ",4,,,90710,"19.22567638811234, ",-98.316539065088,"CALLE LA VÍA NÚMERO TRES INTERIOR DOS, SANTO TOMAS LA CONCORDIA DEL MUNICIPIO DE NATIVITAS, TLAXCALA"
1092,4,"ROBO CASA HABITACION","ROBO CASA HABITACION",1,2,2025-05-26,09:45:00,7,1,4.1.1,TLAXCALA,29,TEPETITLA,19,"TEPETITLA DE LARDIZÁBAL",1,,,90700,"19.265538837222955, ",-98.376874443222,"TEPETITLA DE LARDIZÁBAL"
1093,4,"ROBO CASA HABITACION ","ROBO CASA HABITACION ",1,2,2025-05-26,09:45:00,7,1,"4.1.1 ",TLAXCALA,29,TEPETITLA,19,TEPETITLA,1,,,90700,"19.26117962556104,",-98.373202142945,"PROLONGACION GALEANA, SIN NUMERO, MUNICIPIO DE TEPETITLA DE LARDIZABAL, TLAXCALA, COMO REFERENCIA EN EL DOMICIILIO DE DOS PISOS CON TERMINADO RUSTICO"
1094,3,"ABUSO SEXUAL","ABUSO SEXUAL",1,1,2025-05-26,,3,1,3.1,TLAXCALA,29,TLAXCALA,33,OCOTLAB,8,,,90114,19.315668,-98.22267,"OCOTLAN TLAXCALA"
1095,1,HOMICIDIO,HOMICIDIO,1,1,2025-05-26,,1,1,1.1.1,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,"LOMA XICOHTEMCATL",,90062,19.31626,-98.24626,"BOULEVAR TEPEHITEC, LOMA XICOHTECATL TLAXCALA"
1096,4,"ROBO MOTOCICLETA","ROBO MOTOCICLETA",1,2,2025-05-26,14:58:00,7,1,4.1.2.2,TLAXCALA,29,TLAXCALA,33,TLAXCALA,1,"LA LOMA XICOHTENCATL",,90070,"19.305669437025063, ",-98.240961021753,"CARR. FEDERAL PUEBLA - TLAXCALA, LA LOMA XICOHTENCATL, 90070 TLAXCALA DE XICOHTÉNCATL, TLAX"
1097,7,"DESAPARICION COMETIDA POR PARTICULARES","DESAPARICION COMETIDA POR PARTICULARES",1,2,2025-05-16,,7,1,7.10,TLAXCALA,29,"TLAXCALA ",33,OCOTLAN,8,,,90880,19.31684,-98.22801,"EN LA PARADA DE OCOTLAN, MUNICIPIO DE TLAXCALA, TLAXCALA"
1098,7,"DESAPARICION COMETIDA POR PARTICULARES","DESAPARICION COMETIDA POR PARTICULARES",1,2,2025-05-08,13:00:00,7,1,7.10,TLAXCALA,29,"ZACATELCO ",44,ZACATELCO,1,,,90740,19.21344,-98.24934,"SECCIÓN SEGUNDA, ZACATELCO, TLAXCALA"
1099,4,"ROBO COMERCIO","ROBO COMERCIO",1,2,2025-05-27,17:30:00,7,1,4.1.11,TLAXCALA,29,APIZACO,5,"SANTA ANITA HUILOAC",9,,,90300,"19.39370082795931,",-98.150893303105,"AL INTERIOR DE LA TIENDA DE CONVENIENCIA CON RAZÓN SOCIAL “OXXO SANTA ANITA”, UBICADO EN BOULEVARD LA LIBERTAD, COMUNIDAD DE SANTA ANITA HUILOAC, MUNICIPIO DE APIZACO TLAXCALA"
